node_id,lon,lat
10964795395,-83.9429578,9.8699497
5063081991,-83.9273525,9.8799947
5063081994,-83.9271621,9.8808434
5063081989,-83.9272553,9.880428
5063081999,-83.9258386,9.8809783
5063081992,-83.925965,9.8797037
5063081993,-83.9255054,9.8804648
5063082006,-83.9247634,9.8815249
5063082007,-83.9251405,9.8821499
5063082008,-83.9252704,9.8816912
8362623004,-83.922697,9.8633186
8362623007,-83.9228359,9.8633384
1237352483,-83.9255323,9.8872701
1237352493,-83.9361528,9.8827731
8362623014,-83.9110001,9.849484
8362623015,-83.9105773,9.8496123
5960548872,-83.9224172,9.8770494
1237352511,-83.9247825,9.8837157
8936718412,-83.939827,9.8810315
2145550414,-83.9131754,9.8654118
11009458258,-83.906999,9.8776993
6715310198,-83.9417886,9.8748515
6715310199,-83.941907,9.874623
6715310200,-83.9414185,9.8747709
6715310201,-83.9415823,9.8744608
6715310202,-83.9421693,9.8747498
6715310203,-83.9412172,9.8742859
696090771,-83.919603,9.8670444
11829532969,-83.9399336,9.8523409
696090782,-83.9196402,9.8667507
498565423,-83.9139532,9.8564356
498565433,-83.9158781,9.8533543
498565435,-83.9160799,9.8524299
498565437,-83.9162684,9.8501469
498565440,-83.9176034,9.8534643
498565442,-83.9089016,9.8470117
498565443,-83.9158704,9.8566961
498565446,-83.9095238,9.8477109
498565448,-83.9087248,9.847512
498565451,-83.9137328,9.8507781
5952012620,-83.917848,9.8511553
12677972299,-83.8971449,9.8507184
498565457,-83.9057818,9.8503026
3071344978,-83.9324965,9.8622497
498565459,-83.9079073,9.8499677
498565460,-83.9070897,9.8470866
1311433718,-83.9199096,9.8718173
8477178637,-83.9353764,9.8770067
8477178638,-83.9361143,9.8774116
5063078604,-83.9259946,9.8826584
5169961715,-83.9148398,9.8477161
5169961716,-83.9149746,9.8479272
3071213996,-83.919898,9.8455998
3071213997,-83.9198593,9.8450623
587923896,-83.9249024,9.8525144
587923899,-83.9259055,9.8516885
587923902,-83.9256209,9.8513041
587923904,-83.9261809,9.8520617
587923908,-83.9264332,9.8515645
587923910,-83.9270571,9.8516785
587923911,-83.9270617,9.8510435
587923912,-83.9270514,9.8498464
587923915,-83.9254469,9.8489548
587923916,-83.9269762,9.849391
587923918,-83.925489,9.8493893
587923920,-83.926603,9.8510383
1676542416,-83.9140598,9.8815361
587923922,-83.9265895,9.8498408
587923924,-83.9261652,9.8510652
587923925,-83.9261807,9.8498419
587923927,-83.9256255,9.8507664
587923929,-83.9255939,9.8502279
587923931,-83.9248001,9.8502274
587923933,-83.9251956,9.8502276
587923935,-83.925193,9.8510519
587923936,-83.9246637,9.8520189
587923939,-83.9232408,9.8518932
587923940,-83.9232519,9.852278
587923943,-83.9244863,9.8523635
587923945,-83.9243529,9.85267
587923949,-83.9232753,9.8526404
587923951,-83.9232823,9.8530194
587923952,-83.9242206,9.8530319
587923953,-83.9240951,9.8533983
11117658610,-83.9424239,9.8780219
587923954,-83.9232958,9.8533676
11117658611,-83.942367,9.8779891
587923959,-83.9222528,9.8485658
587923956,-83.9212904,9.8514389
587923961,-83.9206235,9.8486122
587923957,-83.921205,9.8498286
587923963,-83.9222049,9.8473644
587923965,-83.9192625,9.8544238
587923966,-83.9224176,9.8525727
587923967,-83.9195875,9.8526598
1676542464,-83.9138323,9.8834813
587923968,-83.9206004,9.8526286
587923970,-83.9181587,9.8477259
1676542467,-83.915822,9.8810706
587923972,-83.919335,9.8480841
587923978,-83.9194834,9.8475548
587923979,-83.9210641,9.8462875
587923981,-83.9218847,9.8440879
587923986,-83.9189993,9.8450307
1676542499,-83.9144009,9.8820702
11357172360,-83.9295401,9.8763732
1676542528,-83.9141381,9.8840996
8477016707,-83.9275554,9.8804825
9349344721,-83.9158104,9.8584147
4489904790,-83.940565,9.850243
4489904791,-83.9412782,9.8503593
1676542628,-83.9155484,9.8817048
1676542634,-83.9141461,9.8815637
10558505670,-83.9336385,9.8690055
10558505672,-83.9338719,9.8688922
1676542667,-83.9143975,9.8952067
9349333710,-83.9386182,9.8449608
9349333713,-83.9375102,9.8457392
10558505688,-83.9140289,9.8646193
10558505689,-83.9140545,9.8645798
10558505690,-83.913396,9.8645344
10558505691,-83.913431,9.8644927
10558505692,-83.9135005,9.8638013
10558505693,-83.9134999,9.8638344
10558505694,-83.9142014,9.8638887
10558505695,-83.9141722,9.8639296
10558505698,-83.8990786,9.8653092
10558505699,-83.8997151,9.86557
10558505700,-83.8995193,9.8657274
10558505701,-83.8989826,9.8654999
3071396496,-83.9216177,9.8673936
588817921,-83.9113929,9.8617633
588817924,-83.9100824,9.8623397
7242449746,-83.9286596,9.8760836
588817926,-83.910169,9.8615937
588817929,-83.9095668,9.8622614
11098817380,-83.9294401,9.8674953
6722618214,-83.9000613,9.8451581
6722618215,-83.9001846,9.8448991
6722618216,-83.9001444,9.8450022
6722618218,-83.9007983,9.8452273
3009872785,-83.9337033,9.8795534
3009872799,-83.9349615,9.8796748
3071116216,-83.9229466,9.8435612
588817950,-83.9110309,9.8649468
588817963,-83.9111938,9.8654352
3071345742,-83.9321752,9.861819
3071345744,-83.9322742,9.8617666
10956801133,-83.9029399,9.8591747
10956801134,-83.9027226,9.8591852
10956801135,-83.9029567,9.8597111
10956801141,-83.9028524,9.8584274
620070055,-83.9414351,9.8800276
12755403944,-83.9092986,9.8655281
12755403947,-83.90908,9.8656141
620070070,-83.9389514,9.8785532
620070072,-83.9381258,9.8778914
11063690425,-83.9367988,9.8779832
10032514243,-83.9143104,9.852328
10032514244,-83.914275,9.8523025
